Date;Price;Stop;Margin;Diff
2017.08.30 23:06:16;387.070;382.573;4.497;4.497
2017.08.30 23:06:47;387.070;382.573;4.497;4.497
2017.08.30 23:07:18;386.979;382.573;4.497;4.406
2017.08.30 23:07:48;386.551;382.573;4.497;3.978
2017.08.30 23:08:19;386.500;382.573;4.497;3.927
2017.08.30 23:08:50;386.359;382.573;4.497;3.786
2017.08.30 23:09:21;386.353;382.573;4.497;3.780
2017.08.30 23:09:52;387.000;382.503;4.497;4.497
2017.08.30 23:10:24;387.000;382.503;4.497;4.497
2017.08.30 23:10:55;387.000;382.503;4.497;4.497
2017.08.30 23:11:26;385.152;382.503;4.497;2.649
2017.08.30 23:11:56;385.400;380.903;4.497;4.497
2017.08.30 23:12:28;385.399;380.903;4.497;4.496
2017.08.30 23:12:58;385.308;380.903;4.497;4.405
2017.08.30 23:13:30;385.291;380.903;4.497;4.388
2017.08.30 23:14:01;385.308;380.811;4.497;4.497
2017.08.30 23:14:32;385.390;380.893;4.497;4.497
2017.08.30 23:15:03;385.384;380.893;4.497;4.491
2017.08.30 23:15:33;384.999;380.893;4.497;4.106
2017.08.30 23:16:05;384.999;380.893;4.497;4.106
2017.08.30 23:16:36;384.504;380.893;4.497;3.611
2017.08.30 23:17:08;384.400;380.893;4.497;3.507
2017.08.30 23:17:39;384.290;380.893;4.497;3.397
2017.08.30 23:18:11;384.000;380.893;4.497;3.107
2017.08.30 23:18:41;384.000;380.893;4.497;3.107
2017.08.30 23:19:12;383.999;380.893;4.497;3.106
2017.08.30 23:19:44;383.999;380.893;4.497;3.106
2017.08.30 23:20:15;383.997;380.893;4.497;3.104
2017.08.30 23:20:46;384.288;379.791;4.497;4.497
2017.08.30 23:21:16;384.286;379.791;4.497;4.495
2017.08.30 23:21:48;384.001;379.791;4.497;4.210
2017.08.30 23:22:19;384.000;379.791;4.497;4.209
2017.08.30 23:22:51;384.001;379.504;4.497;4.497
2017.08.30 23:23:21;383.310;379.504;4.497;3.806
2017.08.30 23:23:53;382.772;379.504;4.497;3.268
2017.08.30 23:24:24;381.822;379.504;4.497;2.318
2017.08.30 23:24:56;381.005;379.504;4.497;1.501
2017.08.30 23:25:28;381.206;376.709;4.497;4.497
2017.08.30 23:25:59;382.000;377.503;4.497;4.497
2017.08.30 23:26:30;381.003;377.503;4.497;3.500
2017.08.30 23:27:00;380.736;377.503;4.497;3.233
2017.08.30 23:27:31;381.365;376.868;4.497;4.497
2017.08.30 23:28:03;381.000;376.868;4.497;4.132
2017.08.30 23:28:34;382.770;378.273;4.497;4.497
2017.08.30 23:29:06;382.760;378.273;4.497;4.487
2017.08.30 23:29:37;381.402;378.273;4.497;3.129
2017.08.30 23:30:08;381.402;378.273;4.497;3.129
2017.08.30 23:30:39;381.402;378.273;4.497;3.129
2017.08.30 23:31:10;381.500;377.003;4.497;4.497
2017.08.30 23:31:40;381.200;377.003;4.497;4.197
2017.08.30 23:32:12;381.200;377.003;4.497;4.197
2017.08.30 23:32:42;380.623;377.003;4.497;3.620
2017.08.30 23:33:13;381.966;377.469;4.497;4.497
2017.08.30 23:33:43;381.000;377.469;4.497;3.531
2017.08.30 23:34:14;381.000;377.469;4.497;3.531
2017.08.30 23:34:44;381.251;376.754;4.497;4.497
2017.08.30 23:35:15;381.000;376.754;4.497;4.246
2017.08.30 23:35:46;380.158;376.754;4.497;3.404
2017.08.30 23:36:17;380.997;376.500;4.497;4.497
2017.08.30 23:36:48;380.997;376.500;4.497;4.497
2017.08.30 23:37:19;380.995;376.500;4.497;4.495
2017.08.30 23:37:50;380.995;376.500;4.497;4.495
2017.08.30 23:38:21;380.994;376.500;4.497;4.494
2017.08.30 23:38:52;380.998;376.501;4.497;4.497
2017.08.30 23:39:23;381.000;376.503;4.497;4.497
2017.08.30 23:39:53;381.004;376.507;4.497;4.497
2017.08.30 23:40:24;381.027;376.530;4.497;4.497
2017.08.30 23:40:55;381.820;377.323;4.497;4.497
2017.08.30 23:41:26;381.383;377.323;4.497;4.060
2017.08.30 23:41:57;381.389;376.892;4.497;4.497
2017.08.30 23:42:28;382.028;377.531;4.497;4.497
2017.08.30 23:42:58;382.028;377.531;4.497;4.497
2017.08.30 23:43:30;381.001;377.531;4.497;3.470
2017.08.30 23:44:00;382.200;377.703;4.497;4.497
2017.08.30 23:44:31;382.966;378.469;4.497;4.497
2017.08.30 23:45:02;381.014;378.469;4.497;2.545
2017.08.30 23:45:35;382.856;378.359;4.497;4.497
2017.08.30 23:46:05;382.856;378.359;4.497;4.497
2017.08.30 23:46:36;382.856;378.359;4.497;4.497
2017.08.30 23:47:07;382.853;378.359;4.497;4.494
2017.08.30 23:47:38;382.855;378.358;4.497;4.497
2017.08.30 23:48:09;382.855;378.358;4.497;4.497
2017.08.30 23:48:39;382.860;378.363;4.497;4.497
2017.08.30 23:49:10;382.967;378.470;4.497;4.497
2017.08.30 23:49:42;382.967;378.470;4.497;4.497
2017.08.30 23:50:13;382.967;378.470;4.497;4.497
2017.08.30 23:50:44;383.187;378.690;4.497;4.497
2017.08.30 23:51:14;383.184;378.690;4.497;4.494
2017.08.30 23:51:45;383.184;378.690;4.497;4.494
2017.08.30 23:52:16;383.189;378.692;4.497;4.497
2017.08.30 23:52:47;383.189;378.692;4.497;4.497
2017.08.30 23:53:17;383.189;378.692;4.497;4.497
2017.08.30 23:53:48;383.190;378.693;4.497;4.497
2017.08.30 23:54:19;383.190;378.693;4.497;4.497
2017.08.30 23:54:51;383.187;378.693;4.497;4.494
2017.08.30 23:55:21;383.189;378.692;4.497;4.497
2017.08.30 23:55:51;383.006;378.692;4.497;4.314
2017.08.30 23:56:22;383.000;378.692;4.497;4.308
2017.08.30 23:56:53;382.980;378.692;4.497;4.288
2017.08.30 23:57:24;382.980;378.692;4.497;4.288
2017.08.30 23:57:55;382.859;378.692;4.497;4.167
2017.08.30 23:58:27;382.849;378.692;4.497;4.157
2017.08.30 23:58:58;382.849;378.692;4.497;4.157
2017.08.30 23:59:29;382.387;378.692;4.497;3.695
2017.08.31 00:00:00;382.355;378.692;4.497;3.663
2017.08.31 00:00:31;382.355;378.692;4.497;3.663
2017.08.31 00:01:03;382.202;378.692;4.497;3.510
2017.08.31 00:01:34;383.000;378.503;4.497;4.497
2017.08.31 00:02:05;383.000;378.503;4.497;4.497
2017.08.31 00:02:36;383.190;378.693;4.497;4.497
2017.08.31 00:03:07;383.190;378.693;4.497;4.497
2017.08.31 00:03:38;383.189;378.693;4.497;4.496
2017.08.31 00:04:09;383.190;378.693;4.497;4.497
2017.08.31 00:04:41;383.190;378.693;4.497;4.497
2017.08.31 00:05:12;383.629;379.132;4.497;4.497
2017.08.31 00:05:43;384.689;380.192;4.497;4.497
2017.08.31 00:06:14;383.979;380.192;4.497;3.787
2017.08.31 00:06:45;383.055;380.192;4.497;2.863
2017.08.31 00:07:16;383.055;380.192;4.497;2.863
2017.08.31 00:07:47;383.005;380.192;4.497;2.813
2017.08.31 00:08:18;383.003;380.192;4.497;2.811
2017.08.31 00:08:49;383.997;379.500;4.497;4.497
2017.08.31 00:09:20;383.997;379.500;4.497;4.497
2017.08.31 00:09:51;383.997;379.500;4.497;4.497
2017.08.31 00:10:22;383.322;379.500;4.497;3.822
2017.08.31 00:10:53;383.983;379.486;4.497;4.497
2017.08.31 00:11:24;383.368;379.486;4.497;3.882
2017.08.31 00:11:56;384.000;379.503;4.497;4.497
2017.08.31 00:12:27;383.379;379.503;4.497;3.876
2017.08.31 00:12:58;383.379;379.503;4.497;3.876
2017.08.31 00:13:29;383.379;379.503;4.497;3.876
2017.08.31 00:14:00;383.379;379.503;4.497;3.876
2017.08.31 00:14:31;383.379;379.503;4.497;3.876
2017.08.31 00:15:02;383.379;379.503;4.497;3.876
2017.08.31 00:15:33;383.833;379.336;4.497;4.497
2017.08.31 00:16:04;383.833;379.336;4.497;4.497
2017.08.31 00:16:36;384.000;379.503;4.497;4.497
2017.08.31 00:17:07;384.000;379.503;4.497;4.497
2017.08.31 00:17:38;384.008;379.511;4.497;4.497
2017.08.31 00:18:09;384.008;379.511;4.497;4.497
2017.08.31 00:18:41;384.168;379.671;4.497;4.497
2017.08.31 00:19:11;384.168;379.671;4.497;4.497
2017.08.31 00:19:41;384.168;379.671;4.497;4.497
2017.08.31 00:20:12;384.168;379.671;4.497;4.497
2017.08.31 00:20:42;384.379;379.882;4.497;4.497
2017.08.31 00:21:13;384.379;379.882;4.497;4.497
2017.08.31 00:21:43;384.500;380.003;4.497;4.497
2017.08.31 00:22:14;384.500;380.003;4.497;4.497
2017.08.31 00:22:45;384.500;380.003;4.497;4.497
2017.08.31 00:23:16;384.769;380.272;4.497;4.497
2017.08.31 00:23:47;384.779;380.282;4.497;4.497
2017.08.31 00:24:18;384.900;380.403;4.497;4.497
2017.08.31 00:24:48;384.899;380.403;4.497;4.496
2017.08.31 00:25:19;384.899;380.403;4.497;4.496
2017.08.31 00:25:49;384.899;380.403;4.497;4.496
2017.08.31 00:26:20;384.899;380.403;4.497;4.496
2017.08.31 00:26:50;385.000;380.503;4.497;4.497
2017.08.31 00:27:21;385.269;380.772;4.497;4.497
2017.08.31 00:27:51;385.269;380.772;4.497;4.497
2017.08.31 00:28:22;385.269;380.772;4.497;4.497
2017.08.31 00:28:52;385.269;380.772;4.497;4.497
2017.08.31 00:29:23;385.006;380.772;4.497;4.234
2017.08.31 00:29:53;385.980;381.483;4.497;4.497
2017.08.31 00:30:24;386.500;382.003;4.497;4.497
2017.08.31 00:30:55;386.000;382.003;4.497;3.997
2017.08.31 00:31:25;385.999;382.003;4.497;3.996
2017.08.31 00:31:56;385.340;382.003;4.497;3.337
2017.08.31 00:32:26;385.339;382.003;4.497;3.336
2017.08.31 00:32:56;385.339;382.003;4.497;3.336
2017.08.31 00:33:27;385.341;380.844;4.497;4.497
2017.08.31 00:33:58;385.988;381.491;4.497;4.497
2017.08.31 00:34:29;385.988;381.491;4.497;4.497
2017.08.31 00:35:00;385.985;381.491;4.497;4.494
2017.08.31 00:35:31;385.985;381.491;4.497;4.494
2017.08.31 00:36:01;385.985;381.491;4.497;4.494
2017.08.31 00:36:32;385.500;381.491;4.497;4.009
2017.08.31 00:37:02;385.050;381.491;4.497;3.559
2017.08.31 00:37:33;385.500;381.003;4.497;4.497
2017.08.31 00:38:04;385.499;381.003;4.497;4.496
2017.08.31 00:38:35;385.499;381.003;4.497;4.496
2017.08.31 00:39:06;385.300;381.003;4.497;4.297
2017.08.31 00:39:37;385.300;381.003;4.497;4.297
2017.08.31 00:40:08;385.495;380.998;4.497;4.497
2017.08.31 00:40:39;385.300;380.998;4.497;4.302
2017.08.31 00:41:10;384.946;380.998;4.497;3.948
2017.08.31 00:41:40;384.946;380.998;4.497;3.948
2017.08.31 00:42:10;385.488;380.991;4.497;4.497
2017.08.31 00:42:41;385.488;380.991;4.497;4.497
2017.08.31 00:43:11;385.487;380.991;4.497;4.496
2017.08.31 00:43:41;385.486;380.991;4.497;4.495
2017.08.31 00:44:11;385.487;380.990;4.497;4.497
2017.08.31 00:44:42;385.962;381.465;4.497;4.497
2017.08.31 00:45:12;385.961;381.465;4.497;4.496
2017.08.31 00:45:43;385.961;381.465;4.497;4.496
2017.08.31 00:46:13;385.961;381.465;4.497;4.496
2017.08.31 00:46:44;385.961;381.465;4.497;4.496
2017.08.31 00:47:15;384.603;381.465;4.497;3.138
2017.08.31 00:47:46;385.938;381.441;4.497;4.497
2017.08.31 00:48:17;385.938;381.441;4.497;4.497
2017.08.31 00:48:48;385.965;381.468;4.497;4.497
2017.08.31 00:49:18;385.965;381.468;4.497;4.497
2017.08.31 00:49:49;386.672;382.175;4.497;4.497
2017.08.31 00:50:19;385.966;382.175;4.497;3.791
2017.08.31 00:50:50;385.965;382.175;4.497;3.790
2017.08.31 00:51:21;385.965;382.175;4.497;3.790
2017.08.31 00:51:52;385.132;382.175;4.497;2.957
2017.08.31 00:52:22;385.132;382.175;4.497;2.957
2017.08.31 00:52:53;385.134;380.637;4.497;4.497
2017.08.31 00:53:24;385.134;380.637;4.497;4.497
2017.08.31 00:53:55;386.479;381.982;4.497;4.497
2017.08.31 00:54:25;386.479;381.982;4.497;4.497
2017.08.31 00:54:56;386.471;381.982;4.497;4.489
2017.08.31 00:55:27;386.471;381.982;4.497;4.489
2017.08.31 00:55:58;385.240;381.982;4.497;3.258
2017.08.31 00:56:28;386.289;381.792;4.497;4.497
2017.08.31 00:56:58;386.293;381.796;4.497;4.497
2017.08.31 00:57:29;385.500;381.796;4.497;3.704
2017.08.31 00:57:59;385.500;381.796;4.497;3.704
2017.08.31 00:58:29;385.500;381.796;4.497;3.704
2017.08.31 00:58:59;386.220;381.723;4.497;4.497
2017.08.31 00:59:30;386.220;381.723;4.497;4.497
2017.08.31 01:00:01;386.220;381.723;4.497;4.497
2017.08.31 01:00:32;385.224;381.723;4.497;3.501
2017.08.31 01:01:04;385.224;381.723;4.497;3.501
2017.08.31 01:01:34;386.200;381.703;4.497;4.497
2017.08.31 01:02:05;386.200;381.703;4.497;4.497
2017.08.31 01:02:35;386.200;381.703;4.497;4.497
2017.08.31 01:03:06;386.198;381.703;4.497;4.495
2017.08.31 01:03:36;386.198;381.703;4.497;4.495
2017.08.31 01:04:07;386.197;381.703;4.497;4.494
2017.08.31 01:04:37;386.197;381.703;4.497;4.494
2017.08.31 01:05:08;385.500;381.703;4.497;3.797
2017.08.31 01:05:39;385.500;381.703;4.497;3.797
2017.08.31 01:06:10;385.500;381.703;4.497;3.797
2017.08.31 01:06:41;384.954;381.703;4.497;3.251
2017.08.31 01:07:12;384.954;381.703;4.497;3.251
2017.08.31 01:07:42;385.494;380.997;4.497;4.497
2017.08.31 01:08:13;385.494;380.997;4.497;4.497
2017.08.31 01:08:43;385.494;380.997;4.497;4.497
2017.08.31 01:09:14;385.494;380.997;4.497;4.497
2017.08.31 01:09:45;385.500;381.003;4.497;4.497
2017.08.31 01:10:16;385.490;381.003;4.497;4.487
2017.08.31 01:10:46;385.490;381.003;4.497;4.487
2017.08.31 01:11:17;386.199;381.702;4.497;4.497
2017.08.31 01:11:48;386.220;381.723;4.497;4.497
2017.08.31 01:12:19;385.491;381.723;4.497;3.768
2017.08.31 01:12:50;385.496;380.999;4.497;4.497
2017.08.31 01:13:21;385.496;380.999;4.497;4.497
2017.08.31 01:13:52;386.000;381.503;4.497;4.497
2017.08.31 01:14:23;386.000;381.503;4.497;4.497
2017.08.31 01:14:54;386.216;381.719;4.497;4.497
2017.08.31 01:15:25;386.214;381.719;4.497;4.495
2017.08.31 01:15:55;386.220;381.723;4.497;4.497
2017.08.31 01:16:25;386.217;381.723;4.497;4.494
2017.08.31 01:16:55;386.217;381.723;4.497;4.494
2017.08.31 01:17:26;386.217;381.723;4.497;4.494
2017.08.31 01:17:56;386.214;381.723;4.497;4.491
2017.08.31 01:18:27;386.214;381.723;4.497;4.491
2017.08.31 01:18:58;386.212;381.723;4.497;4.489
2017.08.31 01:19:29;386.212;381.723;4.497;4.489
2017.08.31 01:19:59;386.210;381.723;4.497;4.487
2017.08.31 01:20:32;386.210;381.723;4.497;4.487
2017.08.31 01:21:02;386.209;381.723;4.497;4.486
2017.08.31 01:21:34;386.207;381.723;4.497;4.484
2017.08.31 01:22:05;386.205;381.723;4.497;4.482
2017.08.31 01:22:36;386.220;381.723;4.497;4.497
2017.08.31 01:23:08;386.220;381.723;4.497;4.497
2017.08.31 01:23:39;386.700;382.203;4.497;4.497
2017.08.31 01:24:10;386.696;382.203;4.497;4.493
2017.08.31 01:24:41;386.691;382.203;4.497;4.488
2017.08.31 01:25:11;386.692;382.195;4.497;4.497
2017.08.31 01:25:41;386.212;382.195;4.497;4.017
2017.08.31 01:26:12;386.688;382.191;4.497;4.497
2017.08.31 01:26:42;386.681;382.191;4.497;4.490
2017.08.31 01:27:13;386.677;382.191;4.497;4.486
2017.08.31 01:27:45;386.674;382.191;4.497;4.483
2017.08.31 01:28:16;386.677;382.180;4.497;4.497
